DTPU0000000001,kf,jg,le,jc,kc
DTPU0000000002,fe,ef,gf,ff,bd
DTPU0000000003,lb,kd,lc,mc,mb
DTPU0000000004,qq,sr,pr,rr,rs
DTPU0000000005,ll,ml,lm,nl,ok
DTPU0000000006,kb,lc,ka,jc,la
DTPU0000000007,hp,ip,km,jo,hk
DTPU0000000008,fc,qk,dj,qn,po
DTPU0000000009,po,sr,lq,oq,op
DTPU0000000010,jj,mi,li,lj,mj
DTPU0000000011,ed,ec,df,de,be
DTPU0000000012,nj,rh,pg,oh,of
DTPU0000000013,gm,gn,hm,fn,hl
DTPU0000000014,fj,cj,bj,bi,ah
DTPU0000000015,bo,dr,er,cr,cq
DTPU0000000016,jc,id,ic,kf,jb
DTPU0000000017,ff,eb,da,ag,eg
DTPU0000000018,nd,mf,ne,mc,me
DTPU0000000019,qn,fq,eq,cq,dq
DTPU0000000020,gp,fp,go,in,fo
DTPU0000000021,nd,oc,lc,nb,sg
DTPU0000000022,da,bc,cb,bb,db
DTPU0000000023,kh,lm,ki,ji,jj
DTPU0000000024,rh,ri,qg,rj,si
DTPU0000000025,of,pe,od,oe,mf
DTPU0000000026,bf,df,cg,bi,ci
DTPU0000000027,ok,rm,ri,qi,qj
DTPU0000000028,hp,hr,iq,ir,gr
DTPU0000000029,sf,sg,af,sd,sh
DTPU0000000030,rn,ro,qo,qp,bp
DTPU0000000031,gc,dl,dk,ek,fk
DTPU0000000032,ma,la,rc,dg,sd
DTPU0000000033,sk,rh,rg,re,rf
DTPU0000000034,gn,go,gp,fo,hp
DTPU0000000035,of,ne,mf,od,pe
DTPU0000000036,pg,qi,rh,rg,ri
DTPU0000000037,nd,md,qc,pc,of
DTPU0000000038,bc,ac,ae,cb,ce
DTPU0000000039,kc,ie,jd,ld,je
DTPU0000000040,jj,li,ji,il,jk
DTPU0000000041,hl,ej,hk,gm,fi
DTPU0000000042,ef,ed,gf,fg,fe
DTPU0000000043,mf,kh,lg,li,lh
DTPU0000000044,np,mp,mo,no,rs
DTPU0000000045,ee,gd,fe,id,he
DTPU0000000046,gd,je,ie,kd,hc
DTPU0000000047,sf,sg,se,sd,re
DTPU0000000048,fc,gc,gb,cb,db
DTPU0000000049,je,hc,gf,gd,ib
DTPU0000000050,hi,dg,hh,gh,ec
DTPU0000000051,le,je,kd,kf,ig
DTPU0000000052,lp,jm,mm,kl,ol
DTPU0000000053,pj,nm,ok,ml,lm
DTPU0000000054,qn,pc,qc,qk,rc
DTPU0000000055,fb,fe,cb,eb,fc
DTPU0000000056,lh,jf,kf,ki,ji
DTPU0000000057,kq,lp,lq,kr,lr
DTPU0000000058,em,fl,dm,go,hn
DTPU0000000059,ro,ag,sn,gp,cs
DTPU0000000060,sn,fs,ro,dr,gs
DTPU0000000061,jd,nk,oe,ie,kc
DTPU0000000062,mc,nc,nd,lb,oc
DTPU0000000063,nm,mn,on,oo,kl
DTPU0000000064,qf,qg,pf,qh,rg
DTPU0000000065,ps,sr,sq,oo,ns
DTPU0000000066,hj,ei,ih,jk,hh
DTPU0000000067,cg,bh,gh,fh,ei
DTPU0000000068,qf,pg,of,pe,qg
DTPU0000000069,rp,pn,rm,rn,rq
DTPU0000000070,kq,lr,nr,mq,lp
DTPU0000000071,fq,cq,eq,cn,go
DTPU0000000072,ro,so,sq,sn,sr
DTPU0000000073,cq,dq,dr,eq,er
DTPU0000000074,di,cj,bd,qn,ck
DTPU0000000075,hq,fr,fq,eq,cq
DTPU0000000076,hf,ie,hg,hi,ig
DTPU0000000077,mg,mh,ng,kg,lf
DTPU0000000078,dg,bf,df,ee,ef
DTPU0000000079,nf,oe,mg,qe,og
DTPU0000000080,kb,mc,md,lb,nd
DTPU0000000081,rc,fc,oc,ne,qc
DTPU0000000082,ll,lm,km,jm,kl
DTPU0000000083,mc,ld,nc,md,pc
DTPU0000000084,ne,oe,rc,pc,od
DTPU0000000085,kk,kl,jl,lk,il
DTPU0000000086,cd,pc,dc,dd,qc
DTPU0000000087,kk,mi,mj,lj,jk
DTPU0000000088,fq,ep,cq,eq,cn
DTPU0000000089,sf,mc,sh,lc,sg
DTPU0000000090,bn,bm,qn,cn,dr
DTPU0000000091,pg,oh,qf,of,pe
DTPU0000000092,ph,oh,pg,oi,nh
DTPU0000000093,kq,nq,hq,jq,fq
DTPU0000000094,gg,de,cd,ed,ff
DTPU0000000095,lh,kf,jh,jg,le
DTPU0000000096,lg,nf,ld,mf,mg
